gamma (fraction of the demand of load that can be curtailed) 1
Pi (investment budget) 100e6
Sigma (weighting factor) 9.08
Sbase: 100 MW
param: vAng:= 0.6																		
;
																		
param:	candidate	branch_fbus		branch_tbus	branch_x	branch_scpt	Fmax	IC	max_lines	angmin		angmax
1		5036		5818		0.04067		-24.588		799.9		13287.27		2		0		0
2		5036		5824		0.05286		-18.918		823.3		17381.48		2		0		0
3		5042		5041		0.02746		-36.417		243.9		952.2		2		0		0
4		5041		5043		0.02285		-43.764		314.3		12427.72		2		0		0
5		5270		5068		0.00789		-126.743		224.4		942.48		2		0		0
6		5184		5073		0.05081		-19.681		213.9		1591.06		2		0		0
7		5079		5252		0.06107		-16.375		195.9		1273.36		2		0		0
8		5252		5110		0.02642		-37.85		193.7		813.54		2		0		0
9		5288		5166		0.00991		-100.908		753		4027.55		2		0		0
10		5184		5187		0.06661		-15.013		150.6		632.52		2		0		0
11		5205		5184		0.04418		-22.635		195.2		819.84		2		0		0
12		5184		5274		0.07266		-13.763		195.7		13952.35		2		0		0
13		5195		5276		0.03906		-25.602		191		802.2		2		0		0
14		5204		5903		0.03052		-32.765		821.8		8105.08		2		0		0
15		5236		5288		0.00479		-208.768		798.9		5610.18		2		0		0
16		5250		5270		0.00301		-332.226		229.5		948.57		2		0		0
17		5276		5250		0.00413		-242.131		194		814.8		2		0		0
18		5252		5253		0.03119		-32.062		279.2		17520.28		2		0		0
19		5252		5268		0.04638		-21.561		173.5		1615.34		2		0		0
20		5268		5269		0.0307		-32.573		236.6		15734.98		2		0		0
21		5270		5271		0.04489		-22.277		238.8		20346.23		2		0		0
22		5274		5275		0.03279		-30.497		245		11439.55		2		0		0
23		5276		5277		0.05003		-19.988		201.5		17308.12		2		0		0
24		5288		5290		0.02955		-33.841		341.1		28637.35		2		0		0
25		5630		5876		0.03832		-26.096		158.2		664.44		3		0		0
26		5876		5631		0.01858		-53.821		213.4		896.28		2		0		0
27		5644		5876		0.01919		-52.11		177.8		746.76		2		0		0
28		5767		5844		0.02638		-37.908		809.1		28017.12		2		0		0
29		4446		4448		0.01012		-98.814		538.5		34581.64		2		0		0
30		5849		5813		0.00809		-123.609		792.5		2942.01		2		0		0
